#,Company,Symbol,Weight,Price,Chg,% Chg
152,Royal Caribbean Group,RCL,0.12%,264.68,-0.3,(-0.11%)
153,Illinois Tool Works,ITW,0.12%,244.27,0.0,(0.00%)
154,Cencora,COR,0.12%,364.78,0.13,(0.03%)
155,Cigna,CI,0.11%,258.75,0.59,(0.23%)
156,Datadog,DDOG,0.11%,197.5,-2.22,(-1.11%)
157,Regeneron Pharmaceuticals,REGN,0.11%,653.31,-1.43,(-0.22%)
158,Monster Beverage,MNST,0.11%,70.04,0.0,(0.01%)
159,Elevance Health,ELV,0.11%,302.78,-1.0,(-0.33%)
160,Quanta Services,PWR,0.11%,450.0,-0.38,(-0.08%)
161,Cummins,CMI,0.11%,484.34,-0.0,(-0.00%)
162,General Motors,GM,0.11%,71.0,-0.05,(-0.07%)
163,American Electric Power,AEP,0.11%,123.18,0.62,(0.51%)
164,Motorola Solutions,MSI,0.11%,394.13,0.13,(0.03%)
165,CSX Corporation,CSX,0.11%,35.24,0.12,(0.34%)
166,Arthur J. Gallagher & Co.,AJG,0.10%,251.06,0.0,(0.00%)
167,Norfolk Southern Railway,NSC,0.10%,286.92,0.0,(0.00%)
168,Hilton Worldwide,HLT,0.10%,274.54,0.0,(0.00%)
169,Autodesk,ADSK,0.10%,299.05,0.33,(0.11%)
170,Vistra Corp.,VST,0.10%,187.14,-1.15,(-0.61%)
171,Colgate-Palmolive,CL,0.10%,78.5,0.03,(0.03%)
172,Republic Services,RSG,0.10%,204.12,0.0,(0.00%)
173,Travelers Companies (The),TRV,0.10%,281.61,-0.78,(-0.28%)
174,Fortinet,FTNT,0.10%,81.88,-0.41,(-0.49%)
175,Seagate Technology,STX,0.10%,292.33,-1.66,(-0.56%)
176,PayPal,PYPL,0.10%,66.17,-0.08,(-0.12%)
177,AutoZone,AZO,0.10%,3716.28,-11.81,(-0.32%)
178,"Workday, Inc.",WDAY,0.10%,226.92,-1.05,(-0.46%)
179,Sempra,SRE,0.10%,92.52,-0.42,(-0.45%)
180,Kinder Morgan,KMI,0.10%,27.03,-0.03,(-0.11%)
181,FedEx,FDX,0.10%,253.72,-0.17,(-0.07%)
182,Simon Property Group,SPG,0.10%,182.94,0.0,(0.00%)
183,Aflac,AFL,0.10%,113.58,0.0,(0.00%)
184,Western Digital,WDC,0.10%,172.85,-1.37,(-0.79%)
185,Marathon Petroleum,MPC,0.10%,196.48,0.12,(0.06%)
186,Freeport-McMoRan,FCX,0.10%,40.7,-0.25,(-0.61%)
187,Digital Realty,DLR,0.09%,169.75,0.54,(0.32%)
188,EOG Resources,EOG,0.09%,106.67,0.1,(0.10%)
189,Truist Financial,TFC,0.09%,45.12,0.0,(0.00%)
190,Air Products,APD,0.09%,258.72,0.28,(0.11%)
